"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","681","should fail to login with invalid credentials","firefox","Fri Jul 25 23:26:59 UTC 2025","passed","Fri Jul 25 23:27:00 UTC 2025","Login Tests","login.spec.ts","",""
"","532","should login successfully with valid credentials","chromium","Fri Jul 25 23:26:51 UTC 2025","passed","Fri Jul 25 23:26:51 UTC 2025","Login Tests","login.spec.ts","",""
"","663","Visual snapshot of login page","chromium","Fri Jul 25 23:26:52 UTC 2025","passed","Fri Jul 25 23:26:53 UTC 2025","Login Tests","login.spec.ts","",""
"","580","should fail to login with invalid credentials","chromium","Fri Jul 25 23:26:51 UTC 2025","passed","Fri Jul 25 23:26:52 UTC 2025","Login Tests","login.spec.ts","",""
"","2002","Complete checkout flow","chromium","Fri Jul 25 23:26:48 UTC 2025","passed","Fri Jul 25 23:26:50 UTC 2025","","cart.spec.ts","",""
"","1278","should login successfully with valid credentials","webkit","Fri Jul 25 23:27:05 UTC 2025","passed","Fri Jul 25 23:27:06 UTC 2025","Login Tests","login.spec.ts","",""
"","2891","Complete checkout flow","webkit","Fri Jul 25 23:27:01 UTC 2025","passed","Fri Jul 25 23:27:04 UTC 2025","","cart.spec.ts","",""
"","1033","Visual snapshot of login page","webkit","Fri Jul 25 23:27:09 UTC 2025","passed","Fri Jul 25 23:27:10 UTC 2025","Login Tests","login.spec.ts","",""
"","564","should login successfully with valid credentials","firefox","Fri Jul 25 23:26:58 UTC 2025","passed","Fri Jul 25 23:26:59 UTC 2025","Login Tests","login.spec.ts","",""
"","670","Visual snapshot of login page","firefox","Fri Jul 25 23:27:00 UTC 2025","passed","Fri Jul 25 23:27:00 UTC 2025","Login Tests","login.spec.ts","",""
"","3324","Complete checkout flow","firefox","Fri Jul 25 23:26:53 UTC 2025","passed","Fri Jul 25 23:26:57 UTC 2025","","cart.spec.ts","",""
"","871","should fail to login with invalid credentials","webkit","Fri Jul 25 23:27:06 UTC 2025","passed","Fri Jul 25 23:27:07 UTC 2025","Login Tests","login.spec.ts","",""
